"梗词","发布","编辑","图文","日期","短释义","长释义","素材","Fahy 锐评","David 锐评","Enyu 锐评","Tippi 锐评"
威尔拿什么赢,True,Fahy Gao,Fahy Gao,05/11/2023,综艺资本宠儿之,"
指的是综艺《说唱巅峰对决》上的rapper威尔，凭借一首名不见经传的《零时抱佛脚》战胜了Jarstick，成功证明了有资本的人就是什么都行。

获胜曲词请全文背诵：但是我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚，临时抱佛脚我总是临时抱佛脚",,7+130 什么玩意？,,,
文心一言,True,Fahy Gao,Fahy Gao,03/17/2023,中文届的chatppt,文心一言是一个由百度公司开发的一个聊天机械人，能够与人互动、回答问题及协作创作。该产品被传媒称为国际著名聊天机械人ChatGPT的中国版及竞争对手。,,8+130 目前在chatgpt的热潮下，百度文言代表中国力量！不能输！,,,
我原来想XX,True,Fahy Gao,Fahy Gao,02/22/2023,艺谋导演的大饼,指的是中国著名导演张艺谋在采访中，对自导的《满江红》一段描述：“我原来想整部电影一镜到底。”但在仔细描述了四分钟之后，委婉地表达了还是自己不行的结果，充满喜剧效果。,https://www.bilibili.com/video/BV1UA41127Tt/?vd_source=5cf2a965e6d983e39f9228cdbb9fc9a0,8+110: 张艺谋很少见的大饼，结合满江红舆论不断，应该会比较火,7+100 其实抛开谋子风评不谈，他因为一镜到底难以掌控节奏而放弃的理由是没什么问题的。,,+5 60 哈？哦
吓我一跳我释放忍术,True,David,Fahy Gao,03/08/2023,B 站 UP 主 Lexburner 在直播中痛诉离婚故事时的发言：“我除了不喜欢你，我什么也没做错。”倒放的空耳,"LexBurner在2022年12月19日晚，疑似因和前妻婚姻存续期间关系不佳开直播控诉，期间情绪失控大哭，由于场面搞笑结合其之前因发言不当引起争端的事件，被广泛用作二次创作素材，和忍者主题的作品（火影，忍者系超级战队）进行拼接。
由于 LexBurner 和哔哩哔哩的复杂关系，相关视频作为敏感内容在B站会受到限流等影响。","原视频：https://m.weibo.cn/status/4848544537641743#&video
【【梗指南】吓我一跳我释放忍术是什么梗】 https://www.bilibili.com/video/BV1E24y1S7HJ/
【吓我一跳我释放忍术，但是高清绿幕素材】 https://www.bilibili.com/video/BV1uV4y1F7dr/
【吓我一跳！我释放忍术】 https://www.bilibili.com/video/BV1LP411F7Cz/",8+140 吃瓜前排了,10+90 吓我一跳我释放忍术🥷✊🤲👐🙌👏🫱🫲🤟🤘🤞👈👉污污污污污~🌧️🌧️🌧️🌧️🌧️，🤗王晓婷，😡霸体，🖐️😡🖐️辛辣天森，🤜🤜🤜🤜🤜，🐼，🤜🤜🤜🤜🤜，哇嘞哇嘞哇佩恩👫👬👬，卡密哒，🤷🏻‍♂️辛辣天森哇啊啊啊啊啊啊啊啊，挑战卡密本身就是，无谋，胜负已分，🖐🏻️😊🖐🏻️😊🖐🏻️😊🖐🏻️😊，胜率1145场98.10%，♦️,,
阳光开朗大男孩,True,Fahy Gao,Fahy Gao,02/13/2023,有没有可能不只是剧本杀里的边缘玩家？,“阳光开朗大男孩”是@卦者灵风在2021年11月发布的一首歌。主要吐槽剧本杀中可有可无的角色——与剧情关系不大，能做的只有微笑，于是写下了这首歌；如今被画手书二创视频带火，开始用于其他游戏中，甚至生活里。,"【《阳光开朗大男孩》-哔哩哔哩】 https://b23.tv/gIXhQ3y

【阳光开朗大男孩是什么梗【梗指南】-哔哩哔哩】 https://b23.tv/RUEozRn

【✨阳✨光✨开✨朗✨大✨男✨孩✨儿✨-哔哩哔哩】 https://b23.tv/yGi6YPr",8+110: 玩剧本杀边缘角色过的人都给我笑,3+100 抛开剧本杀不谈，这首歌绝对属于某个 c-pop 发行提过的那种“只有副歌”的曲，但是考虑到是非专业人士原创歌曲，曲子难听当然是可以容忍的，重点是衍生出的二创手书等。,,
燕国地图,True,David,Fahy Gao,03/29/2023,图穷匕见,成语“图穷匕见”的互联网应用。历史上秦王嬴政翻看燕国地图到最后时露出了荆轲用来刺杀的小刀。而在互联网上“燕国地图”一词通常形容反转或反串出现时的情况。,http://b23.tv/wFRUZm9,8+110:荆轲这波不行,8+140 经典老梗,5+120，不是很懂,
杂交教授,True,Fahy Gao,Fahy Gao,03/01/2023,视频梗- 陈宏友的种族优生论,指的是合肥师范学院的副教授陈宏友。近日，在安徽一中学进行感恩节主题演讲，过程中，因演讲内容据称符合新纳粹的种族优生论，引发一学生不满，直接走到讲堂夺走话筒，并说了一系列爱国言论（演讲详情请见下页）。,【杂交叫兽是什么东西【梗指南】-哔哩哔哩】 https://b23.tv/yreqiaj,7+100: 比较贴近ig的调侃国内风气，且事情本身比较奇葩。期待大家的态度。,5+120 旧活新整,,
芝顿~芝顿~,True,Fahy Gao,David,03/10/2023,新奥特曼亮点,芝顿是《新·奥特曼》中的天体镇压兵器，原片中音效压迫感十足，但是在国语配音水平低下且没有添加任何后期效果，一副萎靡不振的样子，堪称世界名画，被网友拷打。,"【芝顿~芝顿~是什么梗【梗指南】-哔哩哔哩】 https://b23.tv/FTe5mxe
",8+120: 无厘头+配音过于离谱,8+110 发生什么事了,8+110 已经开始洗脑了，希望能多普及一下,
,False,Olivia Jin,,,,,,,,,
,False,,,,,,,,,,
